Seconds Time Day T0_Nipple_close_to_WaCu T1_WaCu_piece T2_Nipple_far_from_WaCu T3_Flat_slower_end T4_Fat_slower T5_Chamber_by_the_tube T6_Viewport_computer T7_Viewport_door T8_NU T9_NU T10_NU T11_NU T12_Viewport_door T13_Viewport_door T14_Viewport_door T15_Viewport_door T16_Viewport_door T17_Viewport_door T18_Viewport_door T19_Viewport_door T20_Viewport_door T21_Viewport_door T22_Viewport_door T23_Viewport_door S0_Nipple_close_to_WaCu S1_WaCu_piece S2_Nipple_far_from_WaCu S3_Flat_slower_end S4_Fat_slower S5_Chamber_by_the_tube S6_Viewport_computer S7_Viewport_door S8_NU S9_NU S10_NU S11_NU S12_Viewport_door S13_Viewport_door S14_Viewport_door S15_Viewport_door S16_Viewport_door S17_Viewport_door S18_Viewport_door S19_Viewport_door S20_Viewport_door S21_Viewport_door S22_Viewport_door S23_Viewport_door O0_Nipple_close_to_WaCu O1_WaCu_piece O2_Nipple_far_from_WaCu O3_Flat_slower_end O4_Fat_slower O5_Chamber_by_the_tube O6_Viewport_computer O7_Viewport_door O8_NU O9_NU O10_NU O11_NU O12_Viewport_door O13_Viewport_door O14_Viewport_door O15_Viewport_door O16_Viewport_door O17_Viewport_door O18_Viewport_door O19_Viewport_door O20_Viewport_door O21_Viewport_door O22_Viewport_door O23_Viewport_door 
0 20:22:13 22Jun2016 24 24 22 23 21 23 22 25 21 26 22 23 22 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
5 20:22:18 22Jun2016 23 24 23 23 21 23 22 25 21 26 22 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10 20:22:23 22Jun2016 23 24 23 23 21 23 21 25 21 26 23 23 22 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
15 20:22:28 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
20 20:22:33 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
25 20:22:38 22Jun2016 24 24 23 23 21 23 22 25 21 26 22 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
30 20:22:43 22Jun2016 23 24 23 23 22 23 22 25 21 26 22 23 22 22 22 21 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
35 20:22:48 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
40 20:22:53 22Jun2016 24 24 23 23 22 23 22 25 21 25 23 23 22 22 22 20 22 22 21 22 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
45 20:22:58 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
50 20:23:3 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
55 20:23:8 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
60 20:23:13 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 22 22 21 22 21 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
65 20:23:18 22Jun2016 23 24 23 23 21 23 22 25 21 26 22 22 22 21 22 21 22 22 21 21 21 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
70 20:23:23 22Jun2016 23 23 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
75 20:23:28 22Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 22 22 20 21 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
80 20:23:33 22Jun2016 24 24 23 22 22 23 22 25 21 26 23 23 22 21 22 20 21 22 20 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
85 20:23:38 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
90 20:23:43 22Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 22 22 20 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
95 20:23:48 22Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
100 20:23:53 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 22 22 21 21 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
105 20:23:58 22Jun2016 24 24 23 23 21 23 22 25 21 26 22 22 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
110 20:24:3 22Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
116 20:24:9 22Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 22 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
121 20:24:14 22Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
126 20:24:19 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
131 20:24:24 22Jun2016 23 24 23 23 21 23 22 25 21 26 22 22 22 22 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
136 20:24:29 22Jun2016 24 24 23 23 22 23 22 25 21 26 23 22 22 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
141 20:24:34 22Jun2016 23 24 23 23 21 23 21 25 21 26 23 23 21 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
146 20:24:39 22Jun2016 23 24 23 23 21 23 21 25 21 25 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
151 20:24:44 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 21 22 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
156 20:24:49 22Jun2016 24 24 23 23 21 23 22 25 21 26 22 23 22 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
161 20:24:54 22Jun2016 24 24 23 23 21 23 22 26 21 26 23 22 22 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
166 20:24:59 22Jun2016 23 24 23 23 22 23 22 25 21 25 23 23 22 21 22 20 22 22 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
171 20:25:4 22Jun2016 24 24 23 23 22 23 22 25 21 25 22 23 22 22 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
176 20:25:9 22Jun2016 23 24 23 23 21 23 22 26 21 26 23 23 22 22 22 20 22 22 21 22 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
